latency,type,condition,condition_index,solve_number,sub_phase,time_in_task,epoch_start,epoch_end
92587,solve,C,0,1,TASK,186.87673439999344,88837,92587
171106,solve,M,1,1,TASK,152.02479470000253,167356,171106
194433,solve,M,1,2,TASK,245.56321009999374,190683,194433
230024,solve,S,2,1,TASK,58.953001500005485,226274,230024
261047,solve,S,2,2,TASK,182.7930478000053,257297,261047
284013,solve,S,2,3,POST-REC,274.5480494000076,280263,284013
