latency,type,condition
11544,baseline_start,None
41605,baseline_end,None
41605,condition_start,C
43288,audio_start,C
43288,task_condition_start,C
43288,buffer_start,C
45813,buffer_end,C
45813,task_block_start,C
45813,pre_rec_start,C
92587,solve,C
113389,post_rec_start,C
128660,condition_start,M
130464,audio_start,M
130464,task_condition_start,M
130464,buffer_start,M
132989,buffer_end,M
132989,task_block_start,M
132989,pre_rec_start,M
171106,solve,M
194433,solve,M
200565,post_rec_start,M
211507,condition_start,S
212709,task_condition_start,S
212709,buffer_start,S
215235,buffer_end,S
215235,task_block_start,S
215235,pre_rec_start,S
230024,solve,S
261047,solve,S
282811,post_rec_start,S
284013,solve,S
