latency,type,condition,condition_index,solve_number,sub_phase,time_in_task,epoch_start,epoch_end
81285,solve,S,0,1,TASK,170.50950370001374,77535,81285
101727,solve,S,0,2,TASK,252.04725499998312,97977,101727
159202,solve,C,1,1,TASK,112.22293200000422,155452,159202
238803,solve,M,2,1,TASK,107.70599359995686,235053,238803
