latency,type,condition
9140,baseline_start,None
39200,baseline_end,None
39200,condition_start,S
42567,task_condition_start,S
42567,buffer_start,S
45092,buffer_end,S
45092,task_block_start,S
45092,pre_rec_start,S
94512,solve,S
112669,post_rec_start,S
126617,condition_start,C
128420,audio_start,C
128420,task_condition_start,C
128420,buffer_start,C
130945,buffer_end,C
130945,task_block_start,C
130945,pre_rec_start,C
198522,post_rec_start,C
211989,condition_start,M
216798,audio_start,M
216798,task_condition_start,M
216798,buffer_start,M
219203,buffer_end,M
219203,task_block_start,M
219203,pre_rec_start,M
256839,solve,M
286900,post_rec_start,M
