latency,type,condition
9259,baseline_start,None
39320,baseline_end,None
39320,condition_start,S
42326,task_condition_start,S
42326,buffer_start,S
44851,buffer_end,S
44851,task_block_start,S
44851,pre_rec_start,S
112427,post_rec_start,S
124812,condition_start,C
126135,audio_start,C
126135,task_condition_start,C
126135,buffer_start,C
128660,buffer_end,C
128660,task_block_start,C
128660,pre_rec_start,C
196356,post_rec_start,C
204653,condition_start,M
206457,audio_start,M
206457,task_condition_start,M
206457,buffer_start,M
208862,buffer_end,M
208862,task_block_start,M
208862,pre_rec_start,M
239283,solve,M
276558,post_rec_start,M
