latency,type,condition
9380,baseline_start,None
39321,baseline_end,None
39321,condition_start,S
41966,task_condition_start,S
41966,buffer_start,S
44491,buffer_end,S
44491,task_block_start,S
44491,pre_rec_start,S
66976,solve,S
88981,solve,S
112067,post_rec_start,S
122649,condition_start,C
123611,audio_start,C
123611,task_condition_start,C
123611,buffer_start,C
126136,buffer_end,C
126136,task_block_start,C
126136,pre_rec_start,C
136957,solve,C
193712,post_rec_start,C
203812,condition_start,M
204774,audio_start,M
204774,task_condition_start,M
204774,buffer_start,M
207299,buffer_end,M
207299,task_block_start,M
207299,pre_rec_start,M
236398,solve,M
274875,post_rec_start,M
